,P,ET,wy,sumP,D
2001-03-08,0.0,1.5368951810176126,2001,398.7368313387421,3.0169315680039137
2001-03-09,0.0,1.5937539750489236,2001,398.7368313387421,4.6106855430528375
2001-03-10,0.0,1.6506127690802348,2001,398.7368313387421,6.261298312133072
2001-03-11,0.0,1.7074715631115458,2001,398.7368313387421,7.968769875244618
2001-03-12,0.0,1.7643303571428568,2001,398.7368313387421,9.733100232387475
2001-03-13,0.0,1.8211891511741678,2001,398.7368313387421,11.554289383561642
2001-03-14,0.0,1.878047945205479,2001,398.7368313387421,13.43233732876712
2001-03-15,0.0,1.8927216854207431,2001,398.7368313387421,15.325059014187865
2001-03-16,0.0,1.9073954256360073,2001,398.7368313387421,17.232454439823872
2001-03-17,0.0,1.9220691658512714,2001,398.7368313387421,19.154523605675145
2001-03-18,0.0,1.9367429060665358,2001,398.7368313387421,21.09126651174168
2001-03-19,0.0,1.9514166462818,2001,398.7368313387421,23.04268315802348
2001-03-20,0.9937098464817582,1.966090386497064,2001,399.73054118522384,24.015063698038784
2001-03-21,0.8325647677782286,1.9807641267123282,2001,400.5631059530021,25.163263056972884
2001-03-22,0.0,1.9954378669275923,2001,400.5631059530021,27.158700923900476
2001-03-23,0.0,2.015046171722113,2001,400.5631059530021,29.173747095622588
2001-03-24,0.0,2.0346544765166334,2001,400.5631059530021,31.20840157213922
2001-03-25,1.3746372980157329,2.054262781311154,2001,401.9377432510178,31.88802705543464
2001-03-26,0.0,2.0738710861056746,2001,401.9377432510178,33.96189814154032
2001-03-27,0.0,2.093479390900195,2001,401.9377432510178,36.05537753244051
2001-03-28,0.0,2.1130876956947158,2001,401.9377432510178,38.168465228135226
2001-03-29,0.0,2.1326960004892364,2001,401.9377432510178,40.301161228624466
2001-03-30,0.0,2.152304305283757,2001,401.9377432510178,42.45346553390822
2001-03-31,0.0,2.1411004770058706,2001,401.9377432510178,44.59456601091409
2001-04-01,0.0,2.129896648727984,2001,401.9377432510178,46.72446265964208
2001-04-02,0.0,2.1186928204500974,2001,401.9377432510178,48.84315548009218
2001-04-03,0.0,2.107488992172211,2001,401.9377432510178,50.950644472264386
2001-04-04,0.0,2.0962851638943243,2001,401.9377432510178,53.04692963615871
2001-04-05,1.0735440420980897,2.085081335616438,2001,403.0112872931159,54.05846692967706
